status;http;url;source;markdown;src_chars;local_chars;live_chars;local_cov;live_cov;src_img;local_img;live_img;src_yt;live_yt;issues;missing_local;missing_live;mojibake;error
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/du-ticket-caisse-base-donnees/vocabulaire-des-tables-de-donnees-structurees-question/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Du ticket caisse base donnees\Vocabulaire des tables de donnees structurees Question.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\du-ticket-caisse-base-donnees\vocabulaire-des-tables-de-donnees-structurees-question.md;155;155;155;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/environnemental-numerique/consommation-mondiale-data-center-fichier/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Environnemental numerique\Consommation mondiale data center Fichier.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\environnemental-numerique\consommation-mondiale-data-center-fichier.md;0;0;0;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/environnemental-numerique/data-center-et-consommation-d-energie-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Environnemental numerique\Data center et consommation d energie Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\environnemental-numerique\data-center-et-consommation-d-energie-questions.md;2357;2357;2357;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/environnemental-numerique/l-impact-environnemental-du-numerique-exercice-interactif/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Environnemental numerique\L impact environnemental du numerique Exercice interactif.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\environnemental-numerique\l-impact-environnemental-du-numerique-exercice-interactif.md;0;0;0;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/environnemental-numerique/numerique-un-desastre-ecologique-a-venir-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Environnemental numerique\Numerique un desastre ecologique a venir Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\environnemental-numerique\numerique-un-desastre-ecologique-a-venir-questions.md;789;789;789;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/environnemental-numerique/numerique-un-desastre-ecologique-a-venir-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Environnemental numerique\Numerique un desastre ecologique a venir Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\environnemental-numerique\numerique-un-desastre-ecologique-a-venir-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/pourquoi-reglement-protection/la-protection-des-donnees-personnelles-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Pourquoi reglement protection\La protection des donnees personnelles Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\pourquoi-reglement-protection\la-protection-des-donnees-personnelles-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/pourquoi-reglement-protection/le-rgpd-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Pourquoi reglement protection\Le RGPD Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\pourquoi-reglement-protection\le-rgpd-questions.md;286;286;286;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/qu-est-ce-qu-un-cookie/les-cookies-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Qu est ce qu un cookie\Les cookies Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\qu-est-ce-qu-un-cookie\les-cookies-questions.md;161;161;161;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/qu-est-ce-qu-un-cookie/qu-est-ce-qu-un-cookie-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Qu est ce qu un cookie\Qu est ce qu un cookie Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\qu-est-ce-qu-un-cookie\qu-est-ce-qu-un-cookie-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/qu-est-une-donnee-personnelle/les-donnees-personnelles-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Qu est une donnee personnelle\Les donnees personnelles Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\qu-est-une-donnee-personnelle\les-donnees-personnelles-questions.md;197;197;197;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/qu-est-une-donnee-personnelle/qu-est-ce-qu-une-donnee-personnelle-video/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Qu est une donnee personnelle\Qu est ce qu une donnee personnelle Video.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\qu-est-une-donnee-personnelle\qu-est-ce-qu-une-donnee-personnelle-video.md;0;27;27;1.0000;1.0000;0;0;0;1;1;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/route-vers-sobriete-numerique/evaluation-prospective-impact-environnemental-numerique/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Route vers sobriete numerique\Evaluation prospective impact environnemental numerique.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\route-vers-sobriete-numerique\evaluation-prospective-impact-environnemental-numerique.md;3871;3871;3871;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/route-vers-sobriete-numerique/progression-des-usages-numeriques-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Route vers sobriete numerique\Progression des usages numeriques Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\route-vers-sobriete-numerique\progression-des-usages-numeriques-questions.md;694;694;694;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/route-vers-sobriete-numerique/sobriete-numerique-guide/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Route vers sobriete numerique\Sobriete numerique Guide.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\route-vers-sobriete-numerique\sobriete-numerique-guide.md;0;0;0;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/activites/route-vers-sobriete-numerique/sobriete-numerique-questions/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Activites\Route vers sobriete numerique\Sobriete numerique Questions.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\activites\route-vers-sobriete-numerique\sobriete-numerique-questions.md;1010;1010;1010;1.0000;1.0000;0;0;0;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/cours/comment-stocker-localement-des-donnees/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Cours\Comment stocker localement des donnees.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\cours\comment-stocker-localement-des-donnees.md;2857;2857;2857;1.0000;1.0000;1;1;1;0;0;;;;;
PASS;200;https://meunier78.github.io/Manuel-SNT/donnees-structurees/cours/differents-formats-de-tables-donnees/;C:\Users\bertr\OneDrive\Bureau\EN\2. Secondes\SNT\0. Numérique 2026\Livre numérique\snt-seconde-main\Donnees structurees traitement\Cours\Differents formats de tables donnees.html;C:\Users\bertr\Documents\Manuel-SNT-GitHub\docs\donnees-structurees\cours\differents-formats-de-tables-donnees.md;1718;1718;1718;1.0000;1.0000;1;1;1;0;0;;;;;
